2025-02-24 23:11:28,243 - fastapi_app - ERROR - Error occured {ex}, {traceback.print_exc()}
2025-02-24 23:11:28,346 - fastapi_app - ERROR - Error occured {ex}, {traceback.print_exc()}
2025-02-24 23:11:28,444 - fastapi_app - ERROR - Error occured {ex}, {traceback.print_exc()}
2025-02-24 23:11:28,550 - fastapi_app - ERROR - Error occured {ex}, {traceback.print_exc()}
2025-02-24 23:11:28,754 - fastapi_app - ERROR - Error occured {ex}, {traceback.print_exc()}
2025-02-24 23:11:28,883 - fastapi_app - ERROR - Error occured {ex}, {traceback.print_exc()}
2025-02-24 23:11:29,029 - fastapi_app - ERROR - Error occured {ex}, {traceback.print_exc()}
2025-02-24 23:11:29,205 - fastapi_app - ERROR - Error occured {ex}, {traceback.print_exc()}
2025-02-24 23:11:29,358 - fastapi_app - ERROR - Error occured {ex}, {traceback.print_exc()}
2025-02-24 23:11:29,494 - fastapi_app - ERROR - Error occured {ex}, {traceback.print_exc()}
2025-02-24 23:11:29,610 - fastapi_app - ERROR - Error occured {ex}, {traceback.print_exc()}
2025-02-24 23:11:29,704 - fastapi_app - ERROR - Error occured {ex}, {traceback.print_exc()}
2025-02-24 23:11:29,803 - fastapi_app - ERROR - Error occured {ex}, {traceback.print_exc()}
2025-02-24 23:11:29,895 - fastapi_app - ERROR - Error occured {ex}, {traceback.print_exc()}
2025-02-24 23:11:29,981 - fastapi_app - ERROR - Error occured {ex}, {traceback.print_exc()}
2025-02-24 23:11:30,078 - fastapi_app - ERROR - Error occured {ex}, {traceback.print_exc()}
2025-02-24 23:11:30,183 - fastapi_app - ERROR - Error occured {ex}, {traceback.print_exc()}
2025-02-24 23:11:30,297 - fastapi_app - ERROR - Error occured {ex}, {traceback.print_exc()}
2025-02-24 23:11:30,393 - fastapi_app - ERROR - Error occured {ex}, {traceback.print_exc()}
2025-02-24 23:11:30,492 - fastapi_app - ERROR - Error occured {ex}, {traceback.print_exc()}
2025-02-24 23:11:30,590 - fastapi_app - ERROR - Error occured {ex}, {traceback.print_exc()}
2025-02-24 23:11:30,775 - fastapi_app - ERROR - Error occured {ex}, {traceback.print_exc()}
2025-02-24 23:11:30,864 - fastapi_app - ERROR - Error occured {ex}, {traceback.print_exc()}
2025-02-24 23:11:30,957 - fastapi_app - ERROR - Error occured {ex}, {traceback.print_exc()}
2025-02-24 23:11:31,084 - fastapi_app - ERROR - Error occured {ex}, {traceback.print_exc()}
2025-02-24 23:11:31,205 - fastapi_app - ERROR - Error occured {ex}, {traceback.print_exc()}
2025-02-24 23:11:31,354 - fastapi_app - ERROR - Error occured {ex}, {traceback.print_exc()}
2025-02-24 23:11:31,480 - fastapi_app - ERROR - Error occured {ex}, {traceback.print_exc()}
2025-02-24 23:11:31,644 - fastapi_app - ERROR - Error occured {ex}, {traceback.print_exc()}
2025-02-24 23:11:31,826 - fastapi_app - ERROR - Error occured {ex}, {traceback.print_exc()}
2025-02-24 23:11:31,981 - fastapi_app - ERROR - Error occured {ex}, {traceback.print_exc()}
2025-02-24 23:11:32,140 - fastapi_app - ERROR - Error occured {ex}, {traceback.print_exc()}
2025-02-24 23:11:32,278 - fastapi_app - ERROR - Error occured {ex}, {traceback.print_exc()}
2025-02-24 23:11:32,379 - fastapi_app - ERROR - Error occured {ex}, {traceback.print_exc()}
2025-02-24 23:11:32,488 - fastapi_app - ERROR - Error occured {ex}, {traceback.print_exc()}
2025-02-24 23:11:32,595 - fastapi_app - ERROR - Error occured {ex}, {traceback.print_exc()}
2025-02-24 23:11:32,690 - fastapi_app - ERROR - Error occured {ex}, {traceback.print_exc()}
2025-02-24 23:11:32,791 - fastapi_app - ERROR - Error occured {ex}, {traceback.print_exc()}
2025-02-24 23:11:32,891 - fastapi_app - ERROR - Error occured {ex}, {traceback.print_exc()}
2025-02-24 23:11:33,002 - fastapi_app - ERROR - Error occured {ex}, {traceback.print_exc()}
2025-02-24 23:11:33,103 - fastapi_app - ERROR - Error occured {ex}, {traceback.print_exc()}
2025-02-24 23:11:33,202 - fastapi_app - ERROR - Error occured {ex}, {traceback.print_exc()}
2025-02-24 23:11:33,307 - fastapi_app - ERROR - Error occured {ex}, {traceback.print_exc()}
2025-02-24 23:11:33,428 - fastapi_app - ERROR - Error occured {ex}, {traceback.print_exc()}
2025-02-24 23:11:33,546 - fastapi_app - ERROR - Error occured {ex}, {traceback.print_exc()}
2025-02-24 23:11:33,661 - fastapi_app - ERROR - Error occured {ex}, {traceback.print_exc()}
2025-02-24 23:11:33,766 - fastapi_app - ERROR - Error occured {ex}, {traceback.print_exc()}
2025-02-24 23:11:33,864 - fastapi_app - ERROR - Error occured {ex}, {traceback.print_exc()}
2025-02-24 23:11:33,958 - fastapi_app - ERROR - Error occured {ex}, {traceback.print_exc()}
2025-02-24 23:11:34,106 - fastapi_app - ERROR - Error occured {ex}, {traceback.print_exc()}
2025-02-24 23:11:34,215 - fastapi_app - ERROR - Error occured {ex}, {traceback.print_exc()}
2025-02-24 23:11:34,330 - fastapi_app - ERROR - Error occured {ex}, {traceback.print_exc()}
